smiles,name,bioactivity_class
CC(C)(C)[C@@H]1CCc2c(sc3c2C(=[NH+][C@H](N3)c4ccccc4OC(=O)c5cc(c(c(c5)OC)OC)OC)O)C1,C98043441,inactive
CCOc1ccc(cc1)/C=C/C(=O)NC(=S)Nc2ccc(cc2)S(=O)(=O)N3CCc4c3cccc4,C13620864,inactive
CCOc1ccc(cc1)/C=C/C(=O)NC(=S)NNC(=O)COc2ccc(cc2Br)C(C)C,C13621174,inactive
C[C@@H]1CC[C@@]23CCC(=O)[C@H]2[C@@]1([C@@H](C[C@@]([C@H]([C@@H]3C)O)(C)C=C)OC(=O)CSC(C)(C)CNC(=O)[C@@H](C(C)C)[NH3+])C,C30727788,inactive
COc1cc(cc(c1OC)OC)[C@@H]2[C@@H]3CC=C[C@@H]3c4cc(ccc4N2)S(=O)(=O)Nc5ccc(cc5)F,C58847155,inactive
COC(=O)c1ccccc1NC(=O)[C@H]2CN(CCN2S(=O)(=O)c3ccccc3)S(=O)(=O)c4ccccc4,C08454146,inactive
Cc1c(c(n2c[nH+]c(c2n1)C(=O)N)C)CCC(=O)Nc3nc(cs3)c4ccc(s4)CNC(=O)C,C15584058,inactive
CCOc1cccc(c1)c2cc([nH]n2)C(=O)NNC3=c4cc(ccc4=[NH+]C3=O)Br,C02590755,inactive
Cc1ccc(c(c1)C(=O)C2=C(C(=O)N([C@@H]2c3ccc(c(c3)Cl)Cl)CCCn4cc[nH+]c4)O)C,C33698714,inactive
CCOc1ccc(cc1)n2cc(c3c2ncnc3NC[C@@H](c4cccs4)[NH+]5CCOCC5)c6ccccc6,C35681693,inactive
c1cc(ccc1[C@H]2CC(=[NH+]c3n2nc(n3)NC(=O)c4ccc(cc4)Cl)c5ccc(cc5)Cl)Cl,C09014148,inactive
CCCCc1cc(C)[nH]c(=O)c1CNC(=O)c1cc(cc2n(ncc12)C(C)C)-c1ccc(nc1)N1CCN(CC1)C(C)C,50536585,active
