smiles,name
FC(F)(F)Oc1ccc(cc1)Oc(cc2)ccc2NC(=O)CCC(=O)[O-],AW00257
Cc1cccc(C)c1-n2c(nnn2)SCc(c3)cc(F)cc3F,AW00258
Clc1ccc(Cl)cc1S(=O)(=O)N2CCN(CCC2)C(=O)OC(C)(C)C,AW00260
c1cc(F)ccc1-c(cc(c23)cccc3)n2C[C@H](O)C[NH2+]Cc(c4Cl)ccc(Cl)c4,AW00264
c1cccc(c12)ccn2C[C@H](O)C[NH2+]CCc(c3)ccc(OC)c3OC,AW00265
O1CCN=C1c2ccc(cc2)NC(=S)NCc3occc3,AW00281
c1ccsc1-c([nH]2)cc(c23)cccc3,AW00283
C#CCNS(=O)(=O)c1sc(cc1)-c2nc(C)sc2,AW00290
C1CCCCCCC1NC(=S)N2CCN(CCC2)c(cc3)ncc3C(F)(F)F,AW00293
c1c(Cl)cc(Cl)cc1NC(=S)N2CCN(CCC2)c(cc3)ncc3C(F)(F)F,AW00294
CCOC(=O)C(CC1)CCN1S(=O)(=O)c2sc(cc2)-c3nc(C)sc3,AW00295
n1ccc(C(F)(F)F)nc1Oc2ccc(cc2)\C=[NH+]\CCc(c3)ccc(OC)c3OC,AW00298
c1cc(F)cc(F)c1NC(=S)NCCNC(=O)Cc2ccc(O)cc2,AW00299
O=C([O-])CC1(C(=O)[O-])CCCC1,AW00301
n1ccc(C(F)(F)F)nc1Oc2ccc(cc2)\C=N\NC(=S)Nc3cc(Cl)ccc3Cl,AW00304
C1COCCN1c(cccc2)c2NC(=S)N3CCN(CC3)c4nc(C(F)(F)F)ccn4,AW00305
n1ccc(C(F)(F)F)nc1N(CC2)CCN2C(=S)Nc3c(C)cc(C)cc3,AW00306
n1ccc(C(F)(F)F)nc1N2CC[NH+](CC2)C[C@@H](O)CSc3ccccc3,AW00308
n1ccc(C(F)(F)F)nc1N2CCN(CC2)C(=O)/C=C/C(=O)[O-],AW00309
n1ccc(C(F)(F)F)nc1N2CC[NH+](CC2)C[C@@H](O)COc3ccc(F)cc3,AW00311
n1ccc(C(F)(F)F)nc1N2CC[NH+](CC2)C[C@@H](O)COc3ccc(Cl)cc3Cl,AW00312
C1CCCC12C(=O)N(C(=O)C2)c3ccc(OC(F)(F)F)cc3,AW00313
Nc1nc(C(F)(F)F)ccn1,AW00314
c1cc(F)cc(F)c1NC(=S)N2CCN(CCC2)c(cc3)ncc3C(F)(F)F,AW00315
C1COCCN1c(cccc2)c2NC(=S)N3CCN(CCC3)c(cc4)ncc4C(F)(F)F,AW00316
c1cc(C)ccc1S(=O)(=O)[N-]C(=O)N2CCN(CCC2)c(cc3)ncc3C(F)(F)F,AW00318
c1ccncc1NC(=S)N2CCN(CCC2)c(cc3)ncc3C(F)(F)F,AW00319
n1ccc(C(F)(F)F)nc1-c2ccccc2,AW00322
O=C(C)Nc1cc([N+]([O-])=O)ccc1Sc2c(N)cccc2,AW00323
c1c(Cl)ccc(c12)nc(s2)N3CCC(CC3)C(=O)OCC,AW00325
