smiles,name,bioactivity_class
CCc1c(C(=O)NCc2c(C)cc(C)[nH]c2=O)cc(Cl)cc1N(CC)[C@H]1CC[C@@H](N(C)C)CC1,CHEMBL3957571,active
Cc1cc(C)c(CNC(=O)c2cc(C3CC(C)(C)NC(C)(C)C3)nc3c2cnn3C(C)C)c(=O)[nH]1,CHEMBL3918857,active
CNc1cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c2cnn(C(C)C)c2n1,CHEMBL3946689,active
COC1CN([C@H]2CC[C@H]([C@@H](C)n3c(C)c(C(=O)NCc4c(SC)cc(C)[nH]c4=O)c4ccccc43)CC2)C1,CHEMBL4640994,active
Cc1cc(Cl)c(CNC(=O)c2c(C)n([C@H](C)C3CCN(CC(F)(F)F)CC3)c3ccccc23)c(=O)[nH]1,CHEMBL4632988,active
Cc1cc(C(=O)NC2CC(C)(C)NC(C)(C)C2)ccc1Oc1ccccc1C#N,CHEMBL3264776,active
CC1(C)CC(NC(=O)c2ccc(S(=O)(=O)c3ccccc3)cc2)CC(C)(C)N1,CHEMBL3264754,inactive
Cc1cc2c(c(=O)[nH]1)CNC(=O)c1cc(Cl)cc(O[C@H]3CC[C@H](N(C)C)CC3)c1C/C=C/CCC2,CHEMBL3394230,active
CCN(c1cccc2c1C/C=C/CCc1cc(C)[nH]c(=O)c1CNC2=O)C1CCNCC1,CHEMBL3394320,active
CCN(c1cc(-c2ccc(C)nc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)[C@H]1CC[C@H](N(C)C)CC1,CHEMBL3701017,active
Cc1cc(C)c(CNC(=O)c2cc(-c3ccc(CN4CCOCC4)cc3)cc(N(C)[C@H]3CC[C@@H](N)CC3)c2C)c(=O)[nH]1,CHEMBL3697434,active
CC(=O)N[C@H]1CC[C@@H](N(C)c2cc(-c3ccc(CN4CCOCC4)nc3)cc(C(=O)NCc3c(C)cc(C)[nH]c3=O)c2C)CC1,CHEMBL3697448,active
CCN(c1cc(-c2ccc(CN3CC[C@H](O)C3)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1,CHEMBL3697460,active
CCN(c1cc(-c2cccs2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)[C@H]1CC[C@H](N(C)C)CC1,CHEMBL3701026,active
CCN(c1cc(-c2ccc(N3CCNCC3)nc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1,CHEMBL3701032,active
CCN(c1cc(-c2ccc(CN3CCOCC3)nc2)cc(C(=O)NCc2c(C(C)C)cc(C)[nH]c2=O)c1C)C1CCOCC1,CHEMBL3701048,active
Cc1cc(C)c(CNC(=O)c2cc(-c3ccc(CN(C)C)cc3)cc(N(C)C3CCNCC3)c2C)c(=O)[nH]1,CHEMBL3697422,active
Cc1cc(C)c(CNC(=O)c2cc(-c3ccc(CN(C)C)nc3)cc(N(C)C3CCCC3)c2C)c(=O)[nH]1,CHEMBL3697427,active
CCN(c1cc(-c2ccc(CNCCO)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1,CHEMBL3697487,active
CCN(c1cc(-c2ccc(C[N+]3([O-])CCOCC3)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CC[S+]([O-])CC1,CHEMBL3700996,active
CC(=O)N[C@H]1CC[C@@H](N(C)c2cc(-c3cnn(C)c3)cc(C(=O)NCc3c(C)cc(C)[nH]c3=O)c2C)CC1,CHEMBL3697417,active
CC(=O)N[C@H]1CC[C@H](N(C)c2cc(-c3cnn(CCN4CCOCC4)c3)cc(C(=O)NCc3c(C)cc(C)[nH]c3=O)c2C)CC1,CHEMBL3697429,active
CCN(c1cc(-c2ccc(S(C)(=O)=O)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)[C@H]1CC[C@H](N(C)C)CC1,CHEMBL3701010,active
CCN(c1cc(-c2ccncc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)[C@H]1CC[C@H](N(C)C)CC1,CHEMBL3701015,active
CCCc1cc(C)[nH]c(=O)c1CNC(=O)c1cc(-c2ccc(CN3CCOCC3)cc2)cc(N(CC)C2CCOCC2)c1C,CHEMBL3701035,active
CCN(c1cc(Cl)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)[C@H]1CC[C@H](C(=O)N2CCCC2)CC1,CHEMBL3932210,active
Cc1cc(C)c(CNC(=O)c2cc(C3CC3)nc3c2cnn3C(C)C)c(O)n1,CHEMBL1608462,inactive
CC1(C)CC(NC(=O)c2ccc(Oc3cccc(-c4ccnnc4)c3C#N)c(Cl)c2)CC(C)(C)N1,CHEMBL3264787,active
CCN(c1cc(Cl)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)[C@H]1CC[C@H](N(C)C2COC2)CC1,CHEMBL3938638,active
CCCc1cc(C)[nH]c(=O)c1CNC(=O)c1cc(Cl)cc(N(CC)C2CCN(C)CC2)c1C,CHEMBL3945718,active
CCN(c1cc(-c2ccc(CN3CCOCC3)nc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1,CHEMBL3697454,active
CCNCc1ccc(-c2cc(C(=O)NCc3c(C)cc(C)[nH]c3=O)c(C)c(N(CC)C3CCOCC3)c2)cc1,CHEMBL3697480,active
