s.no.,smiles,name,bioactivity_class
104,Cc1ccc(cc1)S(=O)(=O)CNC(=O)[C@H](c2ccccc2C)N(C(=O)c3ccccc3O)C(C)(C)C,C36584106,inactive
105,CCN(C1CCOCC1)c1cc(cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C#CC1CCN(C)CC1,155255,active
106,CCc1ccc(cc1)NC(=O)CSc2nc3ccc(cc3s2)NC(=O)[C@H](CC)Sc4[nH+]ccn4C,C59854085,inactive
107,Cc1c(c(n(n1)c2ccccc2)Oc3ccc(cc3F)F)C[NH+](C[C@@H]4CCCO4)C[C@@H](COC(C)C)O,C36304208,inactive
108,Cc1ccc2cccc(c2[nH+]1)NC(=O)[C@H]3CCCN(C3)S(=O)(=O)c4ccc(s4)Br,C72090894,inactive
109,Cc1cc(cc(c1Cl)C)OCC(=O)Nc2ccc(cc2)C(=O)N/N=C\c3ccc(c(c3)CSc4nc5ccccc5o4)OC,C98236623,inactive
110,CC[C@H](C)N1C(=O)[C@@H]2[C@H]([NH2+][C@]3([C@@H]2C1=O)c4cc(ccc4NC3=O)Cl)Cc5ccc(cc5)O,C16024885,inactive
111,CCOc1cccc2c1nc(s2)N3CC[NH+](CC3)CCNC(=O)CCS(=O)(=O)c4ccc(cc4)F,C38774953,inactive
112,C[C@H](C1CCN(CC(F)(F)F)CC1)n1c(C)c(C(=O)NCc2c(C)cc(Cl)[nH]c2=O)c2ccccc12,50541916,active
113,Cc1ccc2cccc(c2[nH+]1)OC(=O)c3c(c\4c(o3)CCC/C4=N\NC(=S)Nc5ccccc5)C,C40825323,inactive
114,c1cc(cc(c1)Br)C(=O)N/C(=C\c2ccc[nH+]c2)/C(=O)Nc3ccc(cc3)Br,C08400265,inactive
115,CC(C)(C)c1ccc(cc1)S(=O)(=O)NCCC(=O)N[C@@H](c2ccc(cc2)F)c3[nH+]ccn3C,C14404855,inactive
116,c1cc(ccc1[C@H]2C=c3cc(ccc3=[NH+]2)Cl)NC(=O)Nc4ccc(cc4)F,C63743847,inactive
117,Cc1cccc(c1)[C@]2(c3ccccc3N(C2=O)CC(=O)Nc4cc(ccc4OC)Cl)O,C65154944,inactive
118,COc1cc(C)[nH]c(=O)c1CNC(=O)c1c(C)n(C(C)C2CCN(C)C(C2)C(F)(F)F)c2ccccc12,50594141,active
119,CC(C)(C)[C@@H]1CCc2c(sc3c2C(=[NH+][C@H](N3)c4ccccc4OC(=O)c5cc(c(c(c5)OC)OC)OC)O)C1,C98043441,inactive
120,CCOc1ccc(cc1)/C=C/C(=O)NC(=S)Nc2ccc(cc2)S(=O)(=O)N3CCc4c3cccc4,C13620864,inactive
121,CCOc1ccc(cc1)/C=C/C(=O)NC(=S)NNC(=O)COc2ccc(cc2Br)C(C)C,C13621174,inactive
122,C[C@@H]1CC[C@@]23CCC(=O)[C@H]2[C@@]1([C@@H](C[C@@]([C@H]([C@@H]3C)O)(C)C=C)OC(=O)CSC(C)(C)CNC(=O)[C@@H](C(C)C)[NH3+])C,C30727788,inactive
123,COc1cc(cc(c1OC)OC)[C@@H]2[C@@H]3CC=C[C@@H]3c4cc(ccc4N2)S(=O)(=O)Nc5ccc(cc5)F,C58847155,inactive
124,COC(=O)c1ccccc1NC(=O)[C@H]2CN(CCN2S(=O)(=O)c3ccccc3)S(=O)(=O)c4ccccc4,C08454146,inactive
125,Cc1c(c(n2c[nH+]c(c2n1)C(=O)N)C)CCC(=O)Nc3nc(cs3)c4ccc(s4)CNC(=O)C,C15584058,inactive
126,CCOc1cccc(c1)c2cc([nH]n2)C(=O)NNC3=c4cc(ccc4=[NH+]C3=O)Br,C02590755,inactive
127,Cc1ccc(c(c1)C(=O)C2=C(C(=O)N([C@@H]2c3ccc(c(c3)Cl)Cl)CCCn4cc[nH+]c4)O)C,C33698714,inactive
128,CCOc1ccc(cc1)n2cc(c3c2ncnc3NC[C@@H](c4cccs4)[NH+]5CCOCC5)c6ccccc6,C35681693,inactive
129,c1cc(ccc1[C@H]2CC(=[NH+]c3n2nc(n3)NC(=O)c4ccc(cc4)Cl)c5ccc(cc5)Cl)Cl,C09014148,inactive
130,CCCCc1cc(C)[nH]c(=O)c1CNC(=O)c1cc(cc2n(ncc12)C(C)C)-c1ccc(nc1)N1CCN(CC1)C(C)C,50536585,active
131,Cc1ccc(cc1)[C@@H]2CC(=NN2C(=O)CSc3nnc(n3c4ccccc4)CNC(=O)Cc5ccccc5)c6cccs6,C97961718,inactive
132,C[C@H](C(=O)Nc1cccc(c1)S(=O)(=O)Nc2ccc(cc2)Br)NC(=O)c3ccco3,C25260070,inactive
133,C[C@@H]1[C@@H]([C@@H](C[C@@H](O1)O[C@@H]2CC[C@@]3([C@H]4CC[C@@]5([C@@H](CC[C@@]5([C@@H]4CC[C@@]3(C2)O)O)C6=CC(=O)OC6)C)/C=N/Cc7cccnc7)OC)O,C70708426,inactive
134,CCCCOc1ccc(cc1)C(=O)NC(=S)NNC(=O)c2ccccc2I,C14030104,inactive
