S.No.,smiles,name,bioactivity_class
134,Cc1cccc(c1)CN2c3ccccc3O/C(=C\c4ccc(cc4)C(=O)NCCCN5CC[NH+](CC5)C)/C2=O,C96486234,inactive
135,C[C@@H]1Cc2cc(ccc2O1)C(=O)C3=C(C(=O)N([C@H]3c4ccc(cc4)OCc5ccccc5)CCCn6cc[nH+]c6)O,C97955578,inactive
136,Cc1ccc(cc1)OCCOc2ccc(cc2OC)/C=C/3\C(=[NH2+])N4C(=NC3=O)SC(=N4)c5ccccc5C,C97959192,inactive
137,CCOC(=O)c1c2c(sc1NC(=O)c3ccc(cc3)S(=O)(=O)N(CC=C)CC=C)C[NH+](CC2)Cc4ccccc4,C97963455,inactive
138,COc1ccc(cc1OC)CC(=O)N/N=C/2\c3cc(ccc3N(C2=O)CN4CCCC[C@@H]4c5ccc[nH+]c5)Br,C97966555,inactive
139,Cc1ccccc1COc2ccc(cc2)C(=O)C3=C(C(=O)N([C@@H]3c4ccc(c(c4)OC)OC)CCCn5cc[nH+]c5)O,C97966809,inactive
140,COc1ccc(cc1OC)[C@H]2C(=C(C(=O)N2CCCn3cc[nH+]c3)O)C(=O)c4ccc(cc4)Br,C06282452,inactive
141,CCOc1cc(ccc1OCc2ccccc2)[C@H]3C(=C(C(=O)N3CCC[NH+](C)C)O)C(=O)c4ccc5c(c4)C[C@H](O5)C,C97969883,inactive
142,CC[NH+](CC)CCCN1[C@H](C(=C(C1=O)O)C(=O)c2ccc3c(c2)C[C@@H](O3)C)c4ccc(c(c4)OC)OCc5ccccc5,C97970935,inactive
143,CC[NH+](CC)CCCN1[C@H](C(=C(C1=O)O)C(=O)c2ccc3c(c2)C[C@H](O3)C)c4ccc(c(c4)OC)OCc5ccccc5,C97970937,inactive
144,c1ccc(c(c1)CNC(=O)CCCCCn2c(=O)c3c(ccs3)n(c2=O)Cc4cc(=O)n5ccccc5[nH+]4)Cl,C97986763,inactive
145,CC(=O)Nc1ccc(cc1)S(=O)(=O)N(CCC[NH+]2CCOCC2)CC(=O)N(Cc3ccccc3)Cc4ccco4,C98017917,inactive
146,Cc1ccc(cc1)NC(=O)N(CC[NH+]2CCCC2)CC(=O)N(CCc3ccc(c(c3)OC)OC)Cc4ccc(o4)C,C98019737,inactive
147,C[NH+](C)CCCN1[C@@H](C(=C(C1=O)O)C(=O)c2ccc(c(c2)F)OC)c3ccc(c(c3)OC)OCc4ccccc4,C98046408,inactive
